nbits,test_images,random_images_sim,time,output_indices,number_of_similar_images
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/FAV3U.jpg,0.9663902,0.00048422813415527344,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/J5EAS.jpg,0.9804851,0.00030422210693359375,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/TI3O3.jpg,0.9809096,0.000308990478515625,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/XAKLG.jpg,0.9821992,0.0002818107604980469,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/WR9FH.jpg,0.97465897,0.0003046989440917969,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/0PVZK.jpg,0.98394084,0.0003046989440917969,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/2K2OG.jpg,0.98653567,0.0002999305725097656,"[0, 2]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/CJJ4E.jpg,0.98553026,0.0002989768981933594,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/N25C3.jpg,0.988692,0.0001468658447265625,"[4, 5]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/4CEIR.jpg,0.9858804,0.000293731689453125,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/WR9FH.jpg,0.97465897,0.00023794174194335938,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/TCUV3.jpg,0.9783389,0.0003101825714111328,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/N7T32.jpg,0.98232764,0.0003142356872558594,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/LFRK2.jpg,0.9857928,0.00031113624572753906,"[0, 1]",2
